unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
353,12,water,late drought,36,9,T3105-1xT2813-2,Y_Y,24-Apr,,,,,24-Apr,,,,,,1,
357,12,water,water,24,10,B2212-3xT2930-2,M_Y,,,,,,24-Apr,02-may,14-may,,,,,
363,10,drought,early drought,30,8,V2519-8xL1502-12,Y_Y,,,26-mar,,8-Apr,24-Apr,,,,,,1,
365,12,water,late drought,20,11,B2913-3xB2311-1,M_M,02-may,,,,,24-Apr,,,,,1,,
367,12,water,late drought,22,3,B1109-1xB1503-3,M_M,,,,,,24-Apr,,,,,,,
368,12,water,late drought,16,11,B2913-2xP2409-9,M_M,,,,,,24-Apr,,,,,1,,
369,12,water,water,19,12,P513-10xB2324-3,M_M,,,,,,24-Apr,,,,,,,
371,12,water,water,18,1,B1613-3xT2930-2,M_Y,17-Apr,,,,,24-Apr,,,,,,,
376,12,water,late drought,46,2,T2311-6xL1502-12,Y_Y,24-Apr,,,,,24-Apr,,,,,1,,
377,10,drought,early drought,3,1,B1223-1xT2315-2,M_Y,,,26-mar,,9-Apr,24-Apr,25-Apr,,,,,,
378,14,water,late drought,28,8,B1916-3xT2829-3,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
380,14,water,water,44,4,P1423-7xB2315-1,M_M,24-may,,,,,,,,,,,,
382,14,water,late drought,42,9,B2324-4xP513-10,M_M,,,,,,24-Apr,,,,,,,
386,14,water,water,16,3,B2913-2xP2409-9,M_M,07-may,,,,,,,,,,,,
390,14,water,late drought,30,11,V2519-8xL1502-12,Y_Y,,,,,,,30-Apr,,,,,,
392,14,water,water,13,4,B1223-1xB1613-3,M_M,15-Apr,,,,,,,,,,,,
396,14,water,water,16,12,B2913-2xP2409-9,M_M,03-may,,,,,,,,,,,,
398,10,drought,early drought,19,1,P513-10xB2324-3,M_M,,,26-mar,,8-Apr,24-Apr,,,,,1,,
401,14,water,water,12,10,T2315-2xT829-3,Y_Y,,,,,,,,,,,,,
