unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
531,16,drought,early drought,22,4,B1109-1xB1503-3,M_M,,,26-mar,,8-Apr,24-Apr,,,,,,,
534,17,water,water,11,10,T2420-1xT3105-1,Y_Y,,,,,,24-Apr,,,,,,,
536,17,water,late drought,12,12,T2315-2xT829-3,Y_Y,,,,,,24-Apr,,,,,1,,
538,17,water,late drought,23,10,B2315-1xP1423-7,M_M,,,,,,24-Apr,,,,,1,,
539,17,water,late drought,8,7,V2118-7xL2221-11,Y_Y,,,,,,,25-Apr,,,,,,
540,16,drought,early drought,24,7,B2212-3xT2930-2,M_Y,24-Apr,,28-mar,,9-Apr,,26-Apr,,,,,,
542,18,water,water,15,8,T2803-1xT2505-3,Y_Y,30-Apr,,,5-Apr,,24-Apr,,,,,,,
544,18,water,water,23,3,B2315-1xP1423-7,M_M,30-Apr,,,,,24-Apr,,14-may,,,,,
546,16,drought,early drought,23,6,B2315-1xP1423-7,M_M,,,,,8-Apr,24-Apr,,,,,,,
548,18,water,water,22,9,B1109-1xB1503-3,M_M,19-Apr,,,,,24-Apr,,14-may,,,,,
551,16,drought,early drought,26,3,T829-3xT2930-2,Y_Y,,,26-mar,,8-Apr,,25-Apr,,,,,,
557,16,drought,early drought,46,4,T2311-6xL1502-12,Y_Y,,,28-mar,,8-Apr,24-Apr,,,,,,,
558,16,drought,early drought,8,1,V2118-7xL2221-11,Y_Y,,,,,8-Apr,24-Apr,,,,,1,,
562,18,water,late drought,19,6,P513-10xB2324-3,M_M,,,,,,24-Apr,,,,,1,,
564,16,drought,early drought,44,7,P1423-7xB2315-1,M_M,,,26-mar,,8-Apr,24-Apr,,,,,,,
565,18,water,water,27,2,B723-3xT2930-2,M_Y,07-may,,,,,24-Apr,,14-may,,,,,
566,18,water,late drought,20,6,B2913-3xB2311-1,M_M,19-Apr,,,,,24-Apr,,,,,1,,
570,18,water,late drought,15,7,T2803-1xT2505-3,Y_Y,24-Apr,,,5-Apr,,24-Apr,,,,,1,,
572,16,drought,early drought,14,7,B711-1xB1207-3,M_M,,,28-mar,,,,26-Apr,,,,,,
601,18,water,water,32,2,T2930-2xT829-3,Y_Y,02-may,,,,,24-Apr,,14-may,,,,,
602,16,drought,early drought,27,1,B723-3xT2930-2,M_Y,,,28-mar,,8-Apr,24-Apr,,,,,1,,
603,18,water,water,20,7,B2913-3xB2311-1,M_M,25-Apr,,,,,24-Apr,,14-may,,,,,
605,18,water,late drought,18,12,B1613-3xT2930-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
606,18,water,late drought,14,6,B711-1xB1207-3,M_M,,,,,,,25-Apr,,,,,,
607,18,water,water,9,7,B1427-3xB3018-3,M_M,03-may,,,,,24-Apr,02-may,14-may,,,,,
608,18,water,water,22,6,B1109-1xB1503-3,M_M,30-Apr,,,,,24-Apr,02-may,14-may,,,,,
609,18,water,late drought,24,9,B2212-3xT2930-2,M_Y,,,,5-Apr,,24-Apr,,,,,1,,
612,18,water,late drought,36,11,T3105-1xT2813-2,Y_Y,,,,,,24-Apr,,,,,1,,
