"","trait","mean_early","min_early","max_early","mean_late","min_late","max_late"
"1","bushiness (n nodes)",47.4621418356423,45.8369851007888,48.5432098765432,19.5412462562537,-9.55302366345311,37.0864197530864
"2","flowering",69.9251119251119,51.6483516483517,84.1269841269841,41.4977614977615,24.1758241758242,60.3174603174603
"3","height (cm)",62.4866165868637,47.8592519685039,72.2601722601723,47.2458802590734,29.7736220472441,66.6023166023166
"4","n flowers",89.6173639874342,81.0372771474878,98.1481481481482,85.5943562610229,71.3333333333333,100
"5","survival",26.6666666666667,15,33,48.3333333333333,22,86
"6","time to flower (days)",-4.55872602776377,-32.7586206896552,12.1223424095487,13.3946452910528,6.96010019681517,17.9310344827586
